Date,SPY,EFA,EEM,IEF,LQD,GLD,VNQ,DBC
2007-02-08,101.42220306396484,41.898521423339844,25.77965545654297,49.93853759765625,49.3825798034668,65.5199966430664,38.514305114746094,19.71175765991211
2007-02-09,100.66681671142578,41.719642639160156,25.47171401977539,49.786903381347656,49.17501449584961,66.12000274658203,38.069549560546875,19.83358383178711
2007-02-12,100.32415771484375,41.55754852294922,25.297657012939453,49.72014236450195,49.18423843383789,65.66999816894531,37.380226135253906,19.459980010986328
2007-02-13,101.17039489746094,42.08856201171875,25.69931983947754,49.683746337890625,49.15198516845703,65.83999633789062,38.105159759521484,19.81734275817871
2007-02-14,101.83480072021484,42.6586799621582,26.252714157104492,49.96881866455078,49.43324279785156,66.37000274658203,37.8338508605957,19.549318313598633
2007-02-15,101.9676742553711,42.708984375,26.26833152770996,50.047706604003906,49.525550842285156,66.41000366210938,38.11404800415039,19.549318313598633
2007-02-16,101.9187240600586,42.692203521728516,26.32857894897461,50.10227966308594,49.576297760009766,66.36000061035156,38.01620101928711,19.890439987182617
2007-02-20,102.13555908203125,42.75368881225586,26.397750854492188,50.1629638671875,49.6546630859375,65.30999755859375,38.309722900390625,19.67115020751953
2007-02-21,102.09357452392578,42.53570556640625,26.475854873657227,50.156890869140625,49.62239074707031,67.3499984741211,38.1851921081543,20.09348487854004
2007-02-22,102.01666259765625,42.72576141357422,26.408910751342773,50.02947998046875,49.553226470947266,67.1500015258789,37.980621337890625,20.369630813598633
2007-02-23,101.61802673339844,42.85989761352539,26.21923828125,50.22966766357422,49.71466064453125,67.72000122070312,37.317970275878906,20.49958038330078
2007-02-26,101.52706909179688,42.882259368896484,26.208086013793945,50.38737869262695,49.9176025390625,68.0999984741211,37.13117218017578,20.556432723999023
2007-02-27,97.56169891357422,41.15509796142578,24.077064514160156,50.81199645996094,50.111297607421875,65.41000366210938,35.97929763793945,20.166584014892578
2007-02-28,98.5617904663086,41.445770263671875,24.679563522338867,50.63608932495117,50.01906204223633,66.4800033569336,36.24613571166992,20.47521209716797
